case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,47.75,267.2,0.001069,3.684e-06,106752385907.13455
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,48.25,267.3,0.001003,3.533e-06,96020138711.81647
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,48.75,267.1,0.0009421,3.391e-06,86629862059.30234
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,49.25,266.8,0.0008845,3.258e-06,78231167087.8664
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,49.75,266.5,0.0008305,3.127e-06,70580872388.13132
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,50.25,266.2,0.0007796,3e-06,63635835623.26883
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,50.75,265.7,0.0007319,2.879e-06,57440548052.18445
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,51.25,265.0,0.000687,2.769e-06,51993677515.37468
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,51.75,264.4,0.0006447,2.662e-06,47013327193.953384
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,52.25,263.7,0.0006049,2.558e-06,42500174399.16654
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,52.75,263.0,0.0005675,2.458e-06,38415696644.03736
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,53.25,262.0,0.0005323,2.367e-06,34831337396.426
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,53.75,261.1,0.0004992,2.279e-06,31559400686.260612
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,54.25,260.1,0.0004681,2.194e-06,28599051479.57278
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,54.75,259.1,0.0004387,2.111e-06,25888397723.393867
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,55.25,258.1,0.0004112,2.033e-06,23459524080.2235
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,55.75,256.9,0.0003852,1.959e-06,21275184132.3598
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,56.25,255.7,0.0003608,1.888e-06,19295432080.600075
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,56.75,254.5,0.0003378,1.819e-06,17487240180.50672
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,57.25,253.3,0.0003162,1.751e-06,15831772452.932732
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,57.75,252.1,0.0002959,1.686e-06,14333307136.151585
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,58.25,250.6,0.0002768,1.626e-06,13008351924.794876
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,58.75,249.2,0.0002588,1.567e-06,11786963747.538616
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,59.25,247.8,0.0002419,1.509e-06,10669412925.163666
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,59.75,246.4,0.0002261,1.452e-06,9650352841.308687
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,60.25,245.0,0.0002112,1.397e-06,8722499494.137636
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,60.75,243.5,0.0001972,1.343e-06,7877722440.574152
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,61.25,242.0,0.000184,1.291e-06,7109604083.728044
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,61.75,240.5,0.0001717,1.24e-06,6412001524.44502
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,62.25,239.0,0.0001601,1.19e-06,5773738492.658617
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,62.75,237.5,0.0001492,1.142e-06,5196225985.407092
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,63.25,236.0,0.000139,1.095e-06,4671255624.550237
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,63.75,234.6,0.0001295,1.048e-06,4190055356.1588826
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,64.25,233.1,0.0001205,1.003e-06,3755453801.0483007
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,64.75,231.7,0.0001122,9.594e-07,3364985944.965698
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,65.25,230.2,0.0001043,9.17e-07,3009296930.3330045
