case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal1,1% PAL,kasting,25.0,103.4509,OUTPUT_PLOT.dat,3.465,5.25,57.19,0.04171,30.85,1.193,1.89,2.289
pal1,1% PAL,kasting,30.0,103.4509,OUTPUT_PLOT.dat,3.17,4.836,53.85,0.03587,27.54,1.059,1.714,2.091
pal1,1% PAL,kasting,35.0,103.4509,OUTPUT_PLOT.dat,2.841,4.372,50.0,0.02983,23.96,0.9161,1.523,1.873
pal1,1% PAL,kasting,40.0,103.4509,OUTPUT_PLOT.dat,2.488,3.87,45.7,0.02391,20.27,0.7687,1.323,1.644
pal1,1% PAL,kasting,45.0,103.4509,OUTPUT_PLOT.dat,2.123,3.344,41.01,0.0184,16.61,0.6237,1.121,1.41
pal1,1% PAL,kasting,50.0,103.4509,OUTPUT_PLOT.dat,1.757,2.81,36.01,0.01353,13.14,0.4868,0.9236,1.178
pal1,1% PAL,kasting,55.0,103.4509,OUTPUT_PLOT.dat,1.403,2.285,30.8,0.009479,9.979,0.3637,0.7381,0.9566
pal1,1% PAL,kasting,60.0,103.4509,OUTPUT_PLOT.dat,1.073,1.785,25.48,0.006305,7.244,0.2583,0.5694,0.7508
pal1,1% PAL,kasting,65.0,103.4509,OUTPUT_PLOT.dat,0.7783,1.328,20.2,0.003989,5.0,0.1733,0.4215,0.5658
pal1,1% PAL,kasting,70.0,103.4509,OUTPUT_PLOT.dat,0.5298,0.9291,15.12,0.00242,3.269,0.1094,0.2968,0.405
pal1,1% PAL,kasting,75.0,103.4509,OUTPUT_PLOT.dat,0.3331,0.6006,10.44,0.001434,2.019,0.06515,0.1959,0.2707
pal1,1% PAL,kasting,80.0,103.4509,OUTPUT_PLOT.dat,0.189,0.3472,6.383,0.0008424,1.167,0.03691,0.1175,0.1632
pal1,1% PAL,kasting,85.0,103.4509,OUTPUT_PLOT.dat,0.09179,0.1661,3.082,0.0004658,0.5979,0.01944,0.05814,0.08025
pal1,1% PAL,photochem,0.0,148.1953,Earth_1pc_48.2.txt,3.506,5.498,64.9,0.03072,27.56,1.039,1.832,2.285
pal1,1% PAL,photochem,5.0,148.1953,Earth_1pc_48.2.txt,3.48,5.46,64.58,0.03035,27.31,1.029,1.818,2.268
pal1,1% PAL,photochem,10.0,148.1953,Earth_1pc_48.2.txt,3.4,5.346,63.61,0.02918,26.51,0.997,1.774,2.219
pal1,1% PAL,photochem,15.0,148.1953,Earth_1pc_48.2.txt,3.269,5.158,62.02,0.0273,25.22,0.9459,1.704,2.137
