case,model,wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
pal1,vulcan,350.0,0.7356,0.7319,0.7209,0.7027,0.6775,0.6457,0.6076,0.5638,0.5148,0.4616,0.4049,0.3458,0.2858,0.2264,0.1696,0.1175,0.07222,0.03499
pal1,vulcan,355.0,0.778,0.7742,0.7626,0.7435,0.7171,0.6836,0.6436,0.5975,0.546,0.4899,0.4301,0.3677,0.3041,0.2411,0.1806,0.1251,0.07687,0.03727
pal1,vulcan,360.0,0.7118,0.7083,0.6978,0.6805,0.6564,0.626,0.5896,0.5477,0.5008,0.4496,0.395,0.338,0.2798,0.222,0.1664,0.1152,0.07069,0.03427
pal1,vulcan,365.0,0.9057,0.9012,0.888,0.866,0.8357,0.7972,0.7512,0.6981,0.6387,0.5738,0.5045,0.4321,0.358,0.2842,0.2131,0.1474,0.09038,0.0438
pal1,vulcan,370.0,0.9422,0.9376,0.9239,0.9012,0.8698,0.8301,0.7824,0.7275,0.666,0.5987,0.5268,0.4515,0.3744,0.2975,0.2231,0.1543,0.09446,0.04574
pal1,vulcan,375.0,0.8517,0.8475,0.8352,0.8149,0.7866,0.7509,0.7081,0.6587,0.6033,0.5427,0.4779,0.4099,0.3402,0.2705,0.2029,0.1403,0.08577,0.0415
pal1,vulcan,380.0,0.9796,0.9749,0.9608,0.9375,0.9053,0.8644,0.8154,0.7588,0.6954,0.626,0.5516,0.4735,0.3933,0.3129,0.2349,0.1624,0.0991,0.0479
pal1,vulcan,385.0,0.7389,0.7354,0.7248,0.7073,0.6831,0.6525,0.6157,0.5732,0.5256,0.4734,0.4174,0.3586,0.2981,0.2374,0.1783,0.1232,0.07509,0.03625
pal1,vulcan,390.0,0.9653,0.9607,0.947,0.9243,0.8929,0.8531,0.8052,0.75,0.688,0.6201,0.5471,0.4704,0.3914,0.3119,0.2343,0.1619,0.09855,0.04751
pal1,vulcan,395.0,0.7492,0.7456,0.7351,0.7175,0.6933,0.6625,0.6256,0.5829,0.535,0.4824,0.426,0.3665,0.3052,0.2434,0.183,0.1264,0.07683,0.03698
pal1,vulcan,400.0,1.391,1.385,1.365,1.333,1.288,1.231,1.163,1.084,0.9954,0.8981,0.7935,0.6833,0.5694,0.4545,0.3419,0.2362,0.1434,0.06889
pal1,vulcan,405.0,1.419,1.412,1.393,1.36,1.314,1.257,1.187,1.107,1.017,0.9181,0.8117,0.6994,0.5833,0.466,0.3507,0.2423,0.1469,0.07046
pal1,vulcan,410.0,1.464,1.457,1.437,1.403,1.356,1.297,1.226,1.143,1.051,0.9491,0.8396,0.724,0.6043,0.4831,0.3639,0.2514,0.1522,0.07288
pal1,vulcan,415.0,1.526,1.518,1.497,1.462,1.414,1.352,1.279,1.193,1.097,0.9912,0.8775,0.7572,0.6325,0.5061,0.3814,0.2636,0.1594,0.07616
pal1,vulcan,420.0,1.54,1.533,1.512,1.477,1.428,1.366,1.292,1.206,1.109,1.003,0.8882,0.767,0.6412,0.5134,0.3873,0.2677,0.1617,0.07707
pal1,vulcan,425.0,1.47,1.464,1.444,1.41,1.364,1.305,1.234,1.153,1.061,0.9594,0.8502,0.7346,0.6146,0.4925,0.3718,0.257,0.1551,0.07374
pal1,vulcan,430.0,1.357,1.351,1.332,1.301,1.259,1.205,1.14,1.065,0.98,0.8869,0.7864,0.6799,0.5692,0.4566,0.3449,0.2385,0.1438,0.06821
pal1,vulcan,435.0,1.575,1.568,1.547,1.511,1.462,1.399,1.324,1.237,1.139,1.032,0.9151,0.7917,0.6633,0.5325,0.4025,0.2785,0.1677,0.07936
pal1,vulcan,440.0,1.621,1.613,1.591,1.555,1.505,1.441,1.364,1.274,1.174,1.063,0.9437,0.8169,0.6849,0.5502,0.4162,0.288,0.1733,0.08177
pal1,vulcan,445.0,1.741,1.733,1.709,1.671,1.617,1.548,1.466,1.37,1.262,1.144,1.016,0.8799,0.7383,0.5935,0.4493,0.3111,0.187,0.08799
pal1,vulcan,450.0,1.852,1.843,1.818,1.777,1.72,1.647,1.56,1.459,1.345,1.219,1.083,0.9385,0.7879,0.6339,0.4802,0.3327,0.1998,0.09377
pal1,vulcan,455.0,1.812,1.804,1.78,1.74,1.684,1.613,1.528,1.429,1.317,1.195,1.062,0.9209,0.7736,0.6229,0.4723,0.3273,0.1964,0.09192
pal1,vulcan,460.0,1.865,1.857,1.832,1.791,1.733,1.661,1.573,1.472,1.357,1.231,1.095,0.9499,0.7985,0.6433,0.488,0.3383,0.2028,0.09453
pal1,vulcan,465.0,1.844,1.836,1.812,1.771,1.714,1.643,1.556,1.456,1.344,1.219,1.085,0.9416,0.792,0.6385,0.4848,0.3362,0.2015,0.09367
pal1,vulcan,470.0,1.834,1.826,1.802,1.762,1.706,1.635,1.549,1.45,1.338,1.214,1.081,0.9387,0.79,0.6373,0.4843,0.336,0.2013,0.09329
pal1,vulcan,475.0,1.856,1.848,1.823,1.783,1.726,1.654,1.568,1.468,1.355,1.23,1.095,0.9518,0.8015,0.6471,0.492,0.3416,0.2045,0.09446
pal1,vulcan,480.0,1.91,1.901,1.876,1.834,1.776,1.703,1.614,1.511,1.395,1.267,1.129,0.9809,0.8263,0.6673,0.5076,0.3524,0.2107,0.09682
pal1,vulcan,485.0,1.735,1.727,1.704,1.666,1.614,1.547,1.467,1.374,1.269,1.153,1.027,0.8929,0.7525,0.6082,0.4629,0.3215,0.1921,0.08802
pal1,vulcan,490.0,1.807,1.799,1.775,1.736,1.681,1.612,1.528,1.432,1.322,1.202,1.071,0.9318,0.7859,0.6355,0.4841,0.3365,0.2011,0.09188
pal1,vulcan,495.0,1.84,1.832,1.808,1.768,1.713,1.643,1.558,1.459,1.348,1.226,1.093,0.951,0.8024,0.6493,0.4949,0.3442,0.2056,0.09361
pal1,vulcan,500.0,1.756,1.748,1.725,1.687,1.634,1.567,1.486,1.393,1.287,1.17,1.043,0.9084,0.7667,0.6206,0.4731,0.329,0.1963,0.0889
pal1,vulcan,505.0,1.784,1.776,1.753,1.714,1.661,1.593,1.511,1.416,1.308,1.19,1.061,0.924,0.78,0.6315,0.4815,0.3348,0.1993,0.08973
pal1,vulcan,510.0,1.769,1.761,1.738,1.7,1.647,1.58,1.499,1.405,1.298,1.181,1.054,0.9179,0.7753,0.6281,0.4793,0.3335,0.1986,0.08921
pal1,vulcan,515.0,1.64,1.633,1.612,1.576,1.527,1.465,1.39,1.303,1.205,1.096,0.9782,0.8524,0.7203,0.5838,0.4458,0.3103,0.1848,0.08275
pal1,vulcan,520.0,1.686,1.679,1.657,1.621,1.57,1.507,1.43,1.34,1.239,1.128,1.007,0.8775,0.7418,0.6015,0.4595,0.32,0.1904,0.08492
pal1,vulcan,525.0,1.692,1.684,1.663,1.626,1.576,1.512,1.435,1.345,1.244,1.132,1.011,0.8813,0.7451,0.6043,0.4617,0.3215,0.191,0.08471
pal1,vulcan,530.0,1.782,1.775,1.751,1.713,1.66,1.593,1.512,1.417,1.311,1.193,1.065,0.9288,0.7854,0.637,0.4867,0.3387,0.2009,0.08847
pal1,vulcan,535.0,1.727,1.72,1.697,1.661,1.609,1.544,1.465,1.374,1.271,1.157,1.033,0.9012,0.7622,0.6184,0.4726,0.329,0.195,0.08551
pal1,vulcan,540.0,1.729,1.721,1.699,1.662,1.611,1.546,1.467,1.376,1.273,1.159,1.035,0.9032,0.7642,0.6204,0.4743,0.3303,0.1958,0.08564
pal1,vulcan,545.0,1.754,1.747,1.724,1.687,1.635,1.569,1.489,1.397,1.292,1.177,1.051,0.9173,0.7763,0.6304,0.4821,0.3358,0.1989,0.0866
pal1,vulcan,550.0,1.759,1.752,1.729,1.692,1.64,1.574,1.494,1.401,1.297,1.181,1.055,0.921,0.7797,0.6333,0.4845,0.3376,0.1999,0.08669
pal1,vulcan,555.0,1.746,1.739,1.716,1.679,1.628,1.562,1.483,1.391,1.288,1.173,1.048,0.9153,0.7751,0.6299,0.4822,0.336,0.1989,0.08589
pal1,vulcan,560.0,1.702,1.695,1.673,1.637,1.587,1.523,1.446,1.356,1.255,1.144,1.022,0.8926,0.756,0.6143,0.4703,0.3277,0.1937,0.08315
pal1,vulcan,565.0,1.705,1.698,1.676,1.639,1.588,1.525,1.448,1.359,1.258,1.146,1.024,0.8943,0.7574,0.6155,0.4711,0.3281,0.1936,0.08266
pal1,vulcan,570.0,1.695,1.688,1.666,1.63,1.58,1.517,1.44,1.351,1.251,1.14,1.019,0.8897,0.7537,0.6126,0.4689,0.3266,0.1926,0.08183
pal1,vulcan,575.0,1.724,1.716,1.694,1.658,1.607,1.543,1.465,1.375,1.272,1.16,1.037,0.9056,0.7673,0.6239,0.4778,0.3329,0.1962,0.08313
pal1,vulcan,580.0,1.696,1.688,1.667,1.631,1.581,1.518,1.441,1.353,1.252,1.142,1.021,0.8921,0.7563,0.6153,0.4716,0.3289,0.1942,0.08226
pal1,vulcan,585.0,1.696,1.689,1.667,1.632,1.582,1.519,1.442,1.354,1.254,1.143,1.023,0.894,0.7582,0.6172,0.4735,0.3306,0.1954,0.08284
pal1,vulcan,590.0,1.637,1.63,1.609,1.574,1.526,1.465,1.392,1.307,1.21,1.104,0.9876,0.8635,0.7326,0.5967,0.458,0.32,0.1893,0.08011
pal1,vulcan,595.0,1.668,1.662,1.641,1.606,1.557,1.495,1.42,1.333,1.235,1.126,1.008,0.8811,0.7476,0.609,0.4675,0.3266,0.193,0.08136
pal1,vulcan,600.0,1.629,1.622,1.601,1.567,1.519,1.459,1.386,1.301,1.205,1.099,0.9836,0.8601,0.7298,0.5944,0.4563,0.3187,0.1881,0.07889
pal1,vulcan,605.0,1.648,1.641,1.62,1.585,1.537,1.476,1.402,1.316,1.219,1.112,0.9956,0.8708,0.7391,0.6023,0.4625,0.3232,0.1909,0.07993
pal1,vulcan,610.0,1.626,1.619,1.599,1.565,1.517,1.457,1.384,1.3,1.205,1.099,0.984,0.861,0.7312,0.5963,0.4584,0.3209,0.1899,0.07973
