case,model,wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85,irradiance_col1
pal100,waccm_eq,341.5,0.6747,0.6713,0.661,0.6441,0.6207,0.5911,0.5558,0.5151,0.4699,0.4206,0.3684,0.3141,0.2591,0.205,0.1533,0.1062,0.06522,0.03141,
pal100,waccm_eq,342.5,0.747,0.7432,0.7319,0.7132,0.6873,0.6546,0.6156,0.5707,0.5206,0.4662,0.4084,0.3484,0.2875,0.2275,0.1703,0.118,0.07256,0.03505,
pal100,waccm_eq,343.5,0.776,0.7721,0.7603,0.7409,0.714,0.6801,0.6395,0.5928,0.5408,0.4843,0.4242,0.3618,0.2985,0.236,0.1765,0.1221,0.07488,0.03597,
pal100,waccm_eq,344.5,0.544,0.5413,0.533,0.5194,0.5006,0.4768,0.4483,0.4156,0.3791,0.3394,0.2973,0.2535,0.2091,0.1652,0.1234,0.08525,0.05212,0.02488,
pal100,waccm_eq,345.5,0.744,0.7403,0.7291,0.7105,0.6849,0.6525,0.6138,0.5693,0.5196,0.4656,0.4081,0.3484,0.2878,0.2279,0.1707,0.1184,0.07291,0.03537,
pal100,waccm_eq,346.5,0.6964,0.6928,0.6823,0.665,0.641,0.6107,0.5744,0.5327,0.4861,0.4355,0.3816,0.3256,0.2688,0.2127,0.159,0.11,0.06742,0.03239,
pal100,waccm_eq,347.5,0.6801,0.6766,0.6664,0.6495,0.6261,0.5965,0.5611,0.5204,0.475,0.4256,0.3731,0.3184,0.2629,0.208,0.1556,0.1077,0.06601,0.03175,
pal100,waccm_eq,348.5,0.7469,0.7431,0.7319,0.7134,0.6877,0.6553,0.6166,0.572,0.5222,0.468,0.4103,0.3504,0.2894,0.2291,0.1715,0.1187,0.07291,0.03519,
pal100,waccm_eq,349.5,0.6257,0.6226,0.6132,0.5977,0.5762,0.5491,0.5167,0.4793,0.4377,0.3923,0.344,0.2938,0.2427,0.1922,0.1438,0.09955,0.0611,0.02947,
pal100,waccm_eq,350.5,0.8756,0.8713,0.8582,0.8365,0.8065,0.7686,0.7233,0.6711,0.6128,0.5494,0.4819,0.4116,0.3401,0.2694,0.2016,0.1396,0.08567,0.04136,
pal100,waccm_eq,351.5,0.7545,0.7507,0.7394,0.7208,0.695,0.6624,0.6233,0.5784,0.5282,0.4736,0.4155,0.3549,0.2933,0.2322,0.1738,0.1203,0.07376,0.03556,
pal100,waccm_eq,352.5,0.6801,0.6767,0.6666,0.6498,0.6266,0.5972,0.5621,0.5216,0.4765,0.4273,0.3749,0.3203,0.2647,0.2097,0.157,0.1086,0.06665,0.03217,
pal100,waccm_eq,353.5,0.8182,0.8141,0.8019,0.7818,0.7539,0.7187,0.6765,0.6279,0.5736,0.5145,0.4515,0.3859,0.3191,0.2528,0.1893,0.1311,0.08045,0.0389,
pal100,waccm_eq,354.5,0.8851,0.8807,0.8675,0.8457,0.8156,0.7775,0.732,0.6795,0.6209,0.557,0.4889,0.418,0.3457,0.274,0.2052,0.1421,0.08728,0.04226,
pal100,waccm_eq,355.5,0.8268,0.8227,0.8104,0.7901,0.762,0.7265,0.684,0.635,0.5803,0.5207,0.4571,0.3908,0.3233,0.2563,0.192,0.1329,0.08162,0.03953,
