Wavelength (nm)	Solar flux (mW/m^2/nm)
7.455000e+02	3.489193e+02
7.465000e+02	3.578782e+02
7.475000e+02	3.546725e+02
7.485000e+02	3.704376e+02
7.495000e+02	3.764158e+02
7.525000e+02	3.975205e+02
7.575000e+02	3.963071e+02
7.625000e+02	2.965483e+02
7.675000e+02	1.763008e+02
7.725000e+02	2.203661e+02
7.775000e+02	2.290023e+02
7.825000e+02	2.606060e+02
7.875000e+02	3.113446e+02
7.925000e+02	3.114981e+02
7.975000e+02	3.510228e+02
8.025000e+02	4.035704e+02
8.075000e+02	4.798933e+02
8.125000e+02	5.203227e+02
8.175000e+02	5.003797e+02
8.225000e+02	5.183741e+02
8.275000e+02	5.277391e+02
8.325000e+02	5.161829e+02
8.375000e+02	5.046499e+02
8.425000e+02	4.586348e+02
8.475000e+02	3.448454e+02
8.525000e+02	4.160488e+02
8.575000e+02	4.536378e+02
8.625000e+02	5.049702e+02
8.675000e+02	5.170582e+02
8.725000e+02	5.259010e+02
8.775000e+02	5.766717e+02
8.825000e+02	6.292033e+02
8.875000e+02	5.637967e+02
8.925000e+02	5.974104e+02
8.975000e+02	5.959337e+02
9.025000e+02	5.537243e+02
9.075000e+02	6.132956e+02
9.125000e+02	6.869413e+02
9.175000e+02	7.425372e+02
9.225000e+02	6.404509e+02
9.275000e+02	5.891302e+02
9.325000e+02	5.613542e+02
9.375000e+02	5.737850e+02
9.425000e+02	6.181279e+02
9.475000e+02	6.599982e+02
9.525000e+02	6.879271e+02
9.575000e+02	7.286985e+02
9.625000e+02	7.227286e+02
9.675000e+02	7.515845e+02
9.725000e+02	7.158198e+02
9.775000e+02	7.039052e+02
9.825000e+02	7.073847e+02
9.875000e+02	7.177731e+02
9.925000e+02	3.539413e+02
9.975000e+02	4.500349e+02
1.002500e+03	5.020578e+02
1.007500e+03	4.888504e+02
1.012500e+03	5.399894e+02
1.017500e+03	5.296384e+02
1.022500e+03	5.636130e+02
1.027500e+03	4.797910e+02
1.032500e+03	5.268016e+02
1.037500e+03	5.620374e+02
1.042500e+03	5.911016e+02
1.047500e+03	6.367933e+02
1.052500e+03	6.231783e+02
1.057500e+03	6.440406e+02
1.062500e+03	6.769641e+02
1.067500e+03	6.796538e+02
1.072500e+03	7.336848e+02
1.077500e+03	7.831826e+02
1.082500e+03	7.812072e+02
1.087500e+03	7.952444e+02
1.092500e+03	7.988741e+02
1.097500e+03	7.820585e+02
1.102500e+03	7.499744e+02
1.107500e+03	7.374963e+02
1.112500e+03	7.464156e+02
1.117500e+03	7.507154e+02
1.122500e+03	7.592624e+02
1.127500e+03	7.660245e+02
1.132500e+03	7.680861e+02
1.137500e+03	6.867435e+02
1.142500e+03	6.810497e+02
1.147500e+03	7.721981e+02
1.152500e+03	7.793961e+02
1.157500e+03	7.724313e+02
1.162500e+03	7.578546e+02
1.167500e+03	7.136465e+02
1.172500e+03	7.640172e+02
1.177500e+03	6.600284e+02
1.182500e+03	7.537731e+02
1.187500e+03	7.462370e+02
1.192500e+03	7.577263e+02
1.197500e+03	6.745530e+02
1.202500e+03	6.991310e+02
1.207500e+03	7.305264e+02
1.212500e+03	7.230331e+02
1.217500e+03	7.492119e+02
1.222500e+03	7.285898e+02
1.227500e+03	7.526232e+02
1.232500e+03	7.363900e+02
1.237500e+03	7.270021e+02
1.242500e+03	6.451971e+02
1.247500e+03	7.130818e+02
1.252500e+03	6.617794e+02
1.257500e+03	7.079407e+02
1.262500e+03	7.071354e+02
1.267500e+03	7.104682e+02
1.272500e+03	7.143282e+02
1.277500e+03	7.171895e+02
1.282500e+03	7.033689e+02
1.287500e+03	7.019166e+02
1.292500e+03	6.960170e+02
1.297500e+03	7.168751e+02
1.302500e+03	7.198583e+02
1.307500e+03	7.116769e+02
1.312500e+03	6.902427e+02
1.317500e+03	7.011476e+02
1.322500e+03	6.967322e+02
1.327500e+03	6.773145e+02
1.332500e+03	6.099016e+02
1.337500e+03	5.406550e+02
1.342500e+03	5.299136e+02
1.347500e+03	5.510486e+02
1.352500e+03	5.194430e+02
1.357500e+03	5.298160e+02
1.362500e+03	5.213323e+02
1.367500e+03	5.393840e+02
1.372500e+03	5.363115e+02
