 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98378E-01  ERR= 1.04173E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  2.50E+05 1.32E-10
  3.50E+05 1.78E-10
  7.50E+05 3.65E-10
  1.15E+06 5.02E-10
  1.55E+06 5.28E-10
  1.95E+06 3.48E-10
  2.35E+06 2.24E-10
  2.75E+06 1.52E-10
  3.15E+06 9.58E-11
  3.55E+06 5.35E-11
  3.95E+06 2.68E-11
  4.35E+06 1.20E-11
  4.75E+06 4.97E-12
  5.15E+06 1.86E-12
  5.55E+06 6.47E-13
  5.95E+06 2.03E-13
  6.35E+06 5.56E-14
  6.75E+06 1.19E-14
  7.15E+06 1.75E-15
  7.55E+06 7.90E-17
  7.95E+06 2.15E-19
  8.35E+06 1.99E-24
  8.75E+06 1.37E-34
  9.15E+06 2.05E-55
  9.55E+06 8.17E-98
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 6.59E-35 0.00E+00 4.65E-39 0.00E+00 8.75E-36 1.73E-04 5.42E-06 2.28E-06 8.01E-06 1.52E-05 5.25E-29
   3.50E+05 1.63E-28 0.00E+00 5.81E-31 0.00E+00 1.03E-28 1.81E-04 6.29E-06 2.78E-06 9.94E-06 1.83E-05 1.24E-22
   6.50E+05 1.67E-23 0.00E+00 5.17E-24 0.00E+00 2.79E-22 1.85E-04 6.18E-06 3.12E-06 1.13E-05 2.04E-05 1.23E-17
   9.50E+05 7.65E-20 0.00E+00 5.42E-20 0.00E+00 2.86E-18 1.89E-04 5.45E-06 3.36E-06 1.22E-05 2.17E-05 5.72E-14
   1.25E+06 2.35E-17 0.00E+00 6.25E-18 0.00E+00 3.38E-16 1.91E-04 4.83E-06 3.51E-06 1.28E-05 2.26E-05 1.73E-11
   1.55E+06 1.10E-15 0.00E+00 1.68E-16 0.00E+00 9.28E-15 1.93E-04 5.27E-06 3.62E-06 1.32E-05 2.32E-05 7.97E-10
   1.85E+06 1.72E-14 0.00E+00 2.27E-15 0.00E+00 1.24E-13 1.95E-04 6.25E-06 3.73E-06 1.37E-05 2.36E-05 1.23E-08
   2.15E+06 1.46E-13 0.00E+00 1.93E-14 0.00E+00 1.04E-12 1.97E-04 8.71E-06 3.90E-06 1.44E-05 2.40E-05 1.04E-07
   2.45E+06 8.33E-13 1.37-113 1.15E-13 0.00E+00 6.16E-12 2.01E-04 1.44E-05 4.18E-06 1.54E-05 2.45E-05 5.91E-07
   2.75E+06 3.53E-12 1.17E-78 5.10E-13 0.00E+00 2.78E-11 2.05E-04 2.66E-05 4.72E-06 1.69E-05 2.50E-05 2.50E-06
   3.05E+06 1.17E-11 2.76E-56 1.70E-12 0.00E+00 9.74E-11 2.11E-04 5.36E-05 5.77E-06 1.89E-05 2.57E-05 8.30E-06
   3.35E+06 3.11E-11 6.80E-42 4.25E-12 8.19-235 2.61E-10 2.20E-04 1.15E-04 7.74E-06 2.14E-05 2.66E-05 2.26E-05
   3.65E+06 6.71E-11 1.46E-32 8.07E-12 1.16-155 5.36E-10 2.35E-04 2.44E-04 1.10E-05 2.42E-05 2.75E-05 5.03E-05
   3.95E+06 1.17E-10 1.94E-26 1.25E-11 1.28-105 9.01E-10 2.69E-04 5.42E-04 1.59E-05 2.66E-05 2.85E-05 9.19E-05
   4.25E+06 1.67E-10 2.53E-22 1.74E-11 1.77E-73 1.37E-09 3.31E-04 1.11E-03 2.21E-05 2.82E-05 2.92E-05 1.36E-04
   4.55E+06 2.08E-10 1.66E-19 2.31E-11 1.54E-52 2.03E-09 3.98E-04 1.71E-03 2.76E-05 2.92E-05 2.97E-05 1.71E-04
   4.85E+06 2.43E-10 1.45E-17 3.03E-11 1.04E-38 3.03E-09 4.45E-04 2.14E-03 3.13E-05 2.97E-05 3.00E-05 1.92E-04
   5.15E+06 2.76E-10 3.02E-16 3.96E-11 2.40E-29 4.59E-09 4.74E-04 2.40E-03 3.36E-05 3.00E-05 3.02E-05 2.05E-04
   5.45E+06 3.08E-10 2.51E-15 5.18E-11 7.23E-23 7.14E-09 4.91E-04 2.55E-03 3.50E-05 3.01E-05 3.03E-05 2.13E-04
   5.75E+06 3.48E-10 1.31E-14 6.81E-11 2.55E-18 1.17E-08 5.01E-04 2.63E-03 3.58E-05 3.02E-05 3.03E-05 2.18E-04
   6.05E+06 4.06E-10 4.72E-14 9.14E-11 3.71E-15 2.04E-08 5.07E-04 2.68E-03 3.64E-05 3.03E-05 3.04E-05 2.21E-04
   6.35E+06 4.79E-10 1.74E-13 1.24E-10 5.51E-13 3.53E-08 5.10E-04 2.69E-03 3.67E-05 3.03E-05 3.04E-05 2.23E-04
   6.65E+06 6.15E-10 2.29E-12 1.67E-10 1.74E-11 6.29E-08 5.11E-04 2.70E-03 3.69E-05 3.03E-05 3.04E-05 2.24E-04
   6.95E+06 8.05E-10 2.02E-11 2.18E-10 1.69E-10 1.45E-07 5.12E-04 2.70E-03 3.70E-05 3.03E-05 3.04E-05 2.25E-04
   7.25E+06 1.10E-09 8.87E-11 2.76E-10 7.47E-10 3.82E-07 5.13E-04 2.70E-03 3.71E-05 3.03E-05 3.04E-05 2.25E-04
   7.55E+06 1.55E-09 2.31E-10 3.38E-10 1.94E-09 8.42E-07 5.14E-04 2.69E-03 3.71E-05 3.03E-05 3.04E-05 2.26E-04
   7.85E+06 2.22E-09 4.25E-10 4.07E-10 3.54E-09 1.45E-06 5.18E-04 2.69E-03 3.72E-05 3.03E-05 3.04E-05 2.26E-04
   8.15E+06 3.13E-09 6.28E-10 4.86E-10 5.15E-09 2.07E-06 5.42E-04 2.66E-03 3.73E-05 3.03E-05 3.04E-05 2.27E-04
   8.45E+06 4.31E-09 8.13E-10 5.69E-10 6.48E-09 2.59E-06 6.01E-04 2.60E-03 3.73E-05 3.03E-05 3.04E-05 2.27E-04
