 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =    2.1273000000000000E-002  CO2 =    2.8400000000000002E-004

    CH4 =    8.0800000000000004E-007
 Standard CH3CL flux =  0.000E+00

 PO2= 9.770E-03  PNO= 1.007E-02  ZAPNO= 1.064E+03
 N= 4     X= 3.48109E-01  ERR= 2.08558E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0


 MIXING RATIOS OF LONG-LIVED SPECIES

  3.15E+06 2.79E-14 4.35E-11 9.05E-11 2.00E-10 2.10E-01 1.06E-28 2.14E-31 3.54E-21 3.29E-16 1.77E-14 6.05E-28 4.31E-04
  3.55E+06 1.73E-13 9.74E-11 1.25E-10 9.42E-11 2.10E-01 3.46E-29 3.01E-30 1.77E-20 4.30E-16 1.76E-14 1.65E-27 4.31E-04
  3.95E+06 9.51E-13 1.58E-10 1.85E-10 1.64E-11 2.10E-01 1.51E-28 3.52E-29 8.22E-20 9.12E-16 1.71E-14 3.14E-27 4.31E-04
  4.35E+06 3.25E-12 1.55E-10 2.67E-10 9.96E-13 2.10E-01 7.44E-28 3.18E-28 3.07E-19 2.09E-15 1.58E-14 4.74E-27 4.31E-04
  4.75E+06 6.50E-12 8.95E-11 3.69E-10 3.40E-14 2.10E-01 2.59E-27 1.56E-27 8.83E-19 4.27E-15 1.36E-14 6.14E-27 4.31E-04
  5.15E+06 9.15E-12 4.30E-11 4.24E-10 1.55E-15 2.10E-01 4.57E-27 3.66E-27 2.41E-18 6.71E-15 1.11E-14 8.10E-27 4.31E-04
  5.55E+06 1.15E-11 2.14E-11 4.46E-10 1.14E-16 2.10E-01 5.97E-27 6.01E-27 7.17E-18 8.72E-15 9.09E-15 1.84E-26 4.31E-04
  5.95E+06 1.36E-11 9.94E-12 4.56E-10 9.46E-18 2.10E-01 7.59E-27 9.30E-27 2.04E-17 1.02E-14 7.55E-15 5.77E-26 4.30E-04
  6.35E+06 1.50E-11 4.63E-12 4.60E-10 1.35E-18 2.10E-01 1.26E-26 1.68E-26 7.32E-17 1.12E-14 6.47E-15 2.78E-25 4.30E-04
  6.75E+06 1.56E-11 1.59E-12 4.62E-10 1.58E-19 2.10E-01 3.07E-26 3.94E-26 1.62E-16 1.18E-14 5.73E-15 1.01E-24 4.29E-04
  7.15E+06 1.46E-11 4.98E-13 4.64E-10 3.08E-20 2.10E-01 1.42E-25 1.58E-25 3.40E-16 1.21E-14 5.20E-15 4.61E-24 4.29E-04
  7.55E+06 1.41E-11 1.43E-13 4.65E-10 3.42E-21 2.10E-01 5.18E-25 6.12E-25 5.24E-16 1.23E-14 4.75E-15 1.35E-23 4.28E-04
  7.95E+06 1.54E-11 3.98E-14 4.63E-10 1.72E-22 2.09E-01 1.23E-24 2.42E-24 7.51E-16 1.23E-14 4.30E-15 2.99E-23 4.26E-04
  8.35E+06 2.99E-11 1.12E-14 4.47E-10 8.75E-26 2.09E-01 3.64E-26 1.18E-25 4.84E-15 8.45E-15 3.84E-15 1.43E-23 4.23E-04
  8.75E+06 6.33E-11 6.51E-15 4.11E-10 1.00E-28 2.08E-01 2.94E-28 4.80E-27 8.54E-15 4.78E-15 3.35E-15 2.73E-24 4.17E-04
  9.15E+06 9.77E-11 2.89E-15 3.71E-10 1.91E-30 2.06E-01 1.69E-30 3.70E-28 1.01E-14 2.95E-15 2.81E-15 5.74E-25 4.06E-04
  9.55E+06 1.24E-10 1.05E-15 3.34E-10 4.47E-32 2.02E-01 7.33E-33 4.38E-29 1.06E-14 1.83E-15 2.18E-15 1.41E-25 3.87E-04
  9.95E+06 1.33E-10 3.06E-16 3.08E-10 1.18E-33 1.95E-01 4.67E-35 6.88E-30 1.00E-14 1.14E-15 1.50E-15 3.78E-26 3.55E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     

 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 7.80E-11
  1.50E+05 9.50E-11
  2.50E+05 1.31E-10
  3.50E+05 1.76E-10
  7.50E+05 3.66E-10
  1.15E+06 5.14E-10
  1.55E+06 5.33E-10
  1.95E+06 3.47E-10
  2.35E+06 2.23E-10
  2.75E+06 1.51E-10
  3.15E+06 9.52E-11
  3.55E+06 5.32E-11
  3.95E+06 2.67E-11
  4.35E+06 1.20E-11
  4.75E+06 4.96E-12
  5.15E+06 1.85E-12
  5.55E+06 6.44E-13
  5.95E+06 2.03E-13
  6.35E+06 5.54E-14
  6.75E+06 1.19E-14
  7.15E+06 1.75E-15
  7.55E+06 7.95E-17
  7.95E+06 2.18E-19
  8.35E+06 2.04E-24
  8.75E+06 1.44E-34
  9.15E+06 2.27E-55
  9.55E+06 1.04E-97
  9.95E+06 1.00-100

 N =   1  EMAX = 7.05E-04 FOR O       AT Z = 5.00E+04 U = 3.75E-17 RHS = 2.64E-20  DT = 1.00E-07  TIME = 1.00E-08
 N =   4  EMAX = 2.06E-02 FOR O       AT Z = 5.00E+04 U = 3.84E-17 RHS = 7.90E-19  DT = 4.50E-07  TIME = 6.10E-07
 N =   7  EMAX = 4.72E-02 FOR O       AT Z = 5.00E+04 U = 4.19E-17 RHS = 1.97E-18  DT = 9.89E-07  TIME = 2.41E-06
 N =  10  EMAX = 6.16E-02 FOR O       AT Z = 5.00E+04 U = 4.92E-17 RHS = 3.03E-18  DT = 1.32E-06  TIME = 5.68E-06
 N =  13  EMAX = 6.61E-02 FOR O       AT Z = 5.00E+04 U = 5.91E-17 RHS = 3.90E-18  DT = 1.75E-06  TIME = 1.00E-05
 N =  16  EMAX = 6.92E-02 FOR O       AT Z = 5.00E+04 U = 7.18E-17 RHS = 4.97E-18  DT = 2.33E-06  TIME = 1.58E-05
 N =  19  EMAX = 7.10E-02 FOR O       AT Z = 5.00E+04 U = 8.79E-17 RHS = 6.24E-18  DT = 3.10E-06  TIME = 2.35E-05
 N =  22  EMAX = 7.11E-02 FOR O       AT Z = 5.00E+04 U = 1.08E-16 RHS = 7.69E-18  DT = 4.13E-06  TIME = 3.38E-05
 N =  25  EMAX = 6.96E-02 FOR O       AT Z = 5.00E+04 U = 1.33E-16 RHS = 9.24E-18  DT = 5.50E-06  TIME = 4.75E-05
 N =  28  EMAX = 6.63E-02 FOR O       AT Z = 5.00E+04 U = 1.62E-16 RHS = 1.07E-17  DT = 7.32E-06  TIME = 6.57E-05
 N =  31  EMAX = 6.11E-02 FOR O       AT Z = 5.00E+04 U = 1.95E-16 RHS = 1.19E-17  DT = 9.74E-06  TIME = 8.99E-05
 N =  34  EMAX = 5.41E-02 FOR O       AT Z = 5.00E+04 U = 2.32E-16 RHS = 1.26E-17  DT = 1.30E-05  TIME = 1.22E-04
 N =  37  EMAX = 5.27E-02 FOR O       AT Z = 5.00E+04 U = 2.70E-16 RHS = 1.42E-17  DT = 2.04E-05  TIME = 1.68E-04
 N =  40  EMAX = 4.83E-02 FOR O       AT Z = 5.00E+04 U = 3.12E-16 RHS = 1.51E-17  DT = 4.48E-05  TIME = 2.49E-04
 N =  43  EMAX = 3.05E-02 FOR O       AT Z = 5.00E+04 U = 3.55E-16 RHS = 1.08E-17  DT = 9.84E-05  TIME = 4.28E-04
 N =  46  EMAX = 9.50E-03 FOR H       AT Z = 3.25E+06 U = 6.34E-17 RHS = 6.02E-19  DT = 4.43E-04  TIME = 8.95E-04
 N =  49  EMAX = 1.52E-02 FOR H       AT Z = 3.35E+06 U = 1.57E-16 RHS = 2.38E-18  DT = 1.49E-03  TIME = 3.00E-03
 N =  52  EMAX = 1.62E-02 FOR O       AT Z = 3.05E+06 U = 7.50E-11 RHS = 1.22E-12  DT = 5.04E-03  TIME = 1.01E-02
 N =  55  EMAX = 3.22E-02 FOR HO2     AT Z = 9.55E+06 U = 2.51E-12 RHS =-8.08E-14  DT = 1.48E-02  TIME = 3.41E-02
