
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3
   5.050E+06 7.529E+02 2.015E+16 4.911E+03 4.495E+02 7.846E+07 1.142E-16 2.636E-10 3.942E-09 2.311E-03 3.284E-05 1.685E-06 5.659E-06 4.284E+15 1.463E+07 1.293E+02 2.264E-07 1.238E-08 7.262E-10 3.512E-10 9.595E-09 2.168E-10 8.248E-12 9.380E-11 2.921E-14 5.481E-17 7.013E-12
   5.150E+06 6.650E+02 1.780E+16 4.044E+03 4.540E+02 6.502E+07 2.831E-16 2.750E-10 4.536E-09 2.385E-03 3.349E-05 1.532E-06 5.624E-06 3.784E+15 1.348E+07 1.213E+02 2.316E-07 1.308E-08 7.576E-10 3.629E-10 9.360E-09 1.648E-10 1.163E-11 9.022E-11 2.036E-14 2.274E-17 4.307E-12
   5.250E+06 5.871E+02 1.581E+16 3.368E+03 4.622E+02 5.456E+07 6.244E-16 2.856E-10 5.235E-09 2.446E-03 3.404E-05 1.411E-06 5.585E-06 3.360E+15 1.250E+07 1.143E+02 2.367E-07 1.380E-08 7.907E-10 3.752E-10 9.114E-09 1.257E-10 1.595E-11 8.825E-11 1.427E-14 9.808E-18 2.720E-12
   5.350E+06 5.178E+02 1.409E+16 2.819E+03 4.734E+02 4.608E+07 1.257E-15 2.959E-10 6.062E-09 2.497E-03 3.452E-05 1.310E-06 5.543E-06 2.995E+15 1.163E+07 1.080E+02 2.417E-07 1.456E-08 8.257E-10 3.883E-10 8.863E-09 9.622E-11 2.148E-11 8.750E-11 1.005E-14 4.373E-18 1.762E-12
   5.450E+06 4.562E+02 1.254E+16 2.341E+03 4.863E+02 3.862E+07 2.393E-15 3.069E-10 7.052E-09 2.540E-03 3.492E-05 1.213E-06 5.499E-06 2.665E+15 1.081E+07 1.013E+02 2.466E-07 1.535E-08 8.622E-10 4.022E-10 8.608E-09 7.395E-11 2.886E-11 8.709E-11 7.092E-15 1.967E-18 1.153E-12
   5.550E+06 4.013E+02 1.115E+16 1.928E+03 5.018E+02 3.211E+07 4.348E-15 3.187E-10 8.257E-09 2.576E-03 3.527E-05 1.118E-06 5.452E-06 2.370E+15 1.004E+07 9.434E+01 2.514E-07 1.617E-08 9.010E-10 4.174E-10 8.350E-09 5.712E-11 3.869E-11 8.701E-11 5.010E-15 8.896E-19 7.594E-13
   5.650E+06 3.526E+02 9.899E+15 1.574E+03 5.209E+02 2.649E+07 7.565E-15 3.318E-10 9.740E-09 2.605E-03 3.556E-05 1.027E-06 5.403E-06 2.104E+15 9.340E+06 8.730E+01 2.561E-07 1.705E-08 9.436E-10 4.345E-10 8.094E-09 4.441E-11 5.186E-11 8.739E-11 3.551E-15 4.062E-19 5.039E-13
   5.750E+06 3.094E+02 8.779E+15 1.274E+03 5.440E+02 2.169E+07 1.260E-14 3.463E-10 1.158E-08 2.629E-03 3.581E-05 9.394E-07 5.352E-06 1.866E+15 8.707E+06 8.024E+01 2.607E-07 1.797E-08 9.918E-10 4.543E-10 7.842E-09 3.484E-11 6.962E-11 8.849E-11 2.531E-15 1.881E-19 3.385E-13
   5.850E+06 2.711E+02 7.776E+15 1.023E+03 5.711E+02 1.761E+07 2.003E-14 3.629E-10 1.386E-08 2.649E-03 3.601E-05 8.549E-07 5.299E-06 1.653E+15 8.149E+06 7.324E+01 2.653E-07 1.895E-08 1.048E-09 4.780E-10 7.595E-09 2.764E-11 9.372E-11 9.057E-11 1.817E-15 8.853E-20 2.305E-13
   5.950E+06 2.372E+02 6.879E+15 8.140E+02 6.015E+02 1.418E+07 3.049E-14 3.818E-10 1.667E-08 2.664E-03 3.619E-05 7.736E-07 5.245E-06 1.462E+15 7.667E+06 6.638E+01 2.698E-07 2.001E-08 1.115E-09 5.067E-10 7.353E-09 2.224E-11 1.267E-10 9.399E-11 1.318E-15 4.255E-20 1.596E-13
   6.050E+06 2.073E+02 6.078E+15 6.420E+02 6.337E+02 1.132E+07 4.584E-14 4.038E-10 2.010E-08 2.676E-03 3.633E-05 6.961E-07 5.188E-06 1.292E+15 7.260E+06 5.973E+01 2.743E-07 2.114E-08 1.195E-09 5.417E-10 7.117E-09 1.820E-11 1.722E-10 9.917E-11 9.686E-16 2.103E-20 1.130E-13
   6.150E+06 1.808E+02 5.362E+15 5.019E+02 6.663E+02 8.963E+06 6.781E-14 4.290E-10 2.422E-08 2.685E-03 3.646E-05 6.226E-07 5.130E-06 1.139E+15 6.921E+06 5.337E+01 2.788E-07 2.235E-08 1.291E-09 5.843E-10 6.890E-09 1.520E-11 2.354E-10 1.068E-10 7.235E-16 1.076E-20 8.232E-14
   6.250E+06 1.575E+02 4.724E+15 3.896E+02 6.977E+02 7.050E+06 1.043E-13 4.579E-10 2.912E-08 2.691E-03 3.656E-05 5.545E-07 5.071E-06 1.004E+15 6.635E+06 4.743E+01 2.833E-07 2.366E-08 1.404E-09 6.349E-10 6.672E-09 1.296E-11 3.238E-10 1.182E-10 5.501E-16 5.809E-21 6.273E-14
   6.350E+06 1.367E+02 4.290E+15 3.301E+02 7.495E+02 6.085E+06 1.672E-13 4.762E-10 3.487E-08 2.691E-03 3.665E-05 5.271E-07 5.011E-06 9.117E+14 6.620E+06 4.422E+01 2.878E-07 2.503E-08 1.543E-09 6.932E-10 6.468E-09 1.188E-11 3.970E-10 1.363E-10 4.726E-16 4.057E-21 5.266E-14
   6.450E+06 1.182E+02 3.715E+15 2.420E+02 7.668E+02 4.516E+06 3.730E-13 5.169E-10 4.170E-08 2.696E-03 3.673E-05 4.508E-07 4.949E-06 7.894E+14 6.344E+06 3.789E+01 2.922E-07 2.648E-08 1.708E-09 7.685E-10 6.287E-09 1.051E-11 5.793E-10 1.533E-10 3.619E-16 2.276E-21 4.184E-14
   6.550E+06 1.022E+02 3.213E+15 1.742E+02 7.902E+02 3.293E+06 9.143E-13 5.644E-10 5.035E-08 2.701E-03 3.679E-05 3.795E-07 4.884E-06 6.826E+14 6.143E+06 3.195E+01 2.967E-07 2.802E-08 1.912E-09 8.636E-10 6.119E-09 9.573E-12 8.507E-10 1.762E-10 2.826E-16 1.265E-21 3.351E-14
   6.650E+06 8.833E+01 2.819E+15 1.295E+02 8.419E+02 2.488E+06 2.187E-12 6.102E-10 6.202E-08 2.701E-03 3.685E-05 3.267E-07 4.816E-06 5.988E+14 6.141E+06 2.734E+01 3.011E-07 2.964E-08 2.179E-09 9.860E-10 5.964E-09 9.288E-12 1.194E-09 2.118E-10 2.397E-16 8.122E-22 2.870E-14
