 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35662E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   8.15E+06 1.26E-07 1.66E-06 1.08E-09 1.03E-07 5.72E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   8.45E+06 1.31E-07 1.72E-06 1.08E-09 1.08E-07 5.74E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   8.75E+06 1.33E-07 1.76E-06 1.08E-09 1.10E-07 5.76E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   9.05E+06 1.35E-07 1.78E-06 1.08E-09 1.11E-07 5.77E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   9.35E+06 1.36E-07 1.79E-06 1.08E-09 1.12E-07 5.77E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   9.65E+06 1.36E-07 1.79E-06 1.08E-09 1.12E-07 5.77E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   9.95E+06 1.36E-07 1.80E-06 1.08E-09 1.12E-07 5.77E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 4.84E-06 5.58E-09 1.85E-06 4.26E-78 3.10E-03 1.11E-05 1.17E-07 6.03E-09 4.06E-07 3.39E-11
   3.50E+05 0.00E+00 6.74E-06 2.19E-08 4.74E-06 4.33E-23 3.51E-03 1.87E-05 4.32E-07 2.81E-08 1.23E-06 3.10E-10
   6.50E+05 0.00E+00 8.48E-06 5.48E-08 1.02E-05 5.55E-11 3.80E-03 2.80E-05 1.01E-06 9.01E-08 2.33E-06 1.41E-09
   9.50E+05 3.57-219 1.05E-05 1.11E-07 1.90E-05 4.89E-09 3.98E-03 4.13E-05 1.96E-06 2.34E-07 3.87E-06 4.46E-09
   1.25E+06 1.30-125 1.40E-05 1.86E-07 3.12E-05 2.10E-08 4.11E-03 6.45E-05 3.27E-06 4.49E-07 6.31E-06 9.36E-09
   1.55E+06 2.01E-81 2.16E-05 2.73E-07 4.65E-05 5.80E-08 4.19E-03 1.14E-04 4.81E-06 7.15E-07 9.78E-06 1.57E-08
   1.85E+06 3.17E-53 2.88E-05 3.43E-07 5.90E-05 1.21E-07 4.24E-03 1.63E-04 6.03E-06 9.59E-07 1.25E-05 2.23E-08
   2.15E+06 2.82E-35 3.30E-05 3.92E-07 6.74E-05 2.16E-07 4.27E-03 1.92E-04 6.88E-06 1.17E-06 1.42E-05 2.86E-08
   2.45E+06 5.49E-24 3.53E-05 4.29E-07 7.31E-05 3.50E-07 4.29E-03 2.08E-04 7.50E-06 1.35E-06 1.55E-05 3.50E-08
   2.75E+06 5.78E-17 3.65E-05 4.56E-07 7.71E-05 5.22E-07 4.30E-03 2.17E-04 7.99E-06 1.52E-06 1.64E-05 4.20E-08
   3.05E+06 1.23E-12 3.72E-05 4.79E-07 8.01E-05 7.13E-07 4.30E-03 2.23E-04 8.38E-06 1.68E-06 1.72E-05 4.97E-08
   3.35E+06 5.35E-10 3.77E-05 4.98E-07 8.25E-05 9.01E-07 4.31E-03 2.26E-04 8.72E-06 1.83E-06 1.79E-05 5.81E-08
